id,uni,course,minTariff,maxTariff,postcode,minALevel,maxALevel
236,,,0,0,,[],[]
237,,,0,0,,[],[]
238,,,0,0,,[],[]
239,,,0,0,,[],[]
240,,,0,0,,[],[]
241,,,0,0,,[],[]
242,,,0,0,,[],[]
243,,,0,0,,[],[]
244,,,0,0,,[],[]
245,,,0,0,,[],[]
246,,,0,0,,[],[]
247,,,0,0,,[],[]
248,,,0,0,,[],[]
249,,,0,0,,[],[]
250,SAE Institute,Audio Production ,0,0,L3 6AL,[],[]
251,,,0,0,,[],[]
252,,,0,0,,[],[]
253,,,0,0,,[],[]
254,,,0,0,,[],[]
255,,,0,0,,[],[]
256,,,0,0,,[],[]
257,,,0,0,,[],[]
258,,,0,0,,[],[]
259,,,0,0,,[],[]
260,,,0,0,,[],[]
261,,,0,0,,[],[]
262,Solihull College & University Centre,Aircraft Maintenance Engineering ,0,0,B91 1SB,[],[]
263,South and City College Birmingham,Business and Management Final Year Entry (Top-up) ,0,0,B5 5SU,[],[]
264,,,0,0,,[],[]
265,,,0,0,,[],[]
266,"South Thames College Group (inc Carshalton, South Thames and Kingston College)",Civil Engineering ,48,48,KT1 2AQ,"['D', 'D']","['D', 'D']"
267,University of South Wales,Accounting and Finance ,0,0,CF37 1DL,"['D', 'D']","['D', 'D']"
268,,,0,0,,"['D', 'D']","['D', 'D']"
269,University of Southampton,Accounting and Finance ,136,136,SO17 1BJ,"['A', 'A', 'B']","['A', 'A', 'B']"
270,SP Jain London School of Management,Business Administration ,120,120,E14 9GE,"['B', 'B', 'B']","['B', 'B', 'B']"
271,,,0,0,,"['B', 'B', 'B']","['B', 'B', 'B']"
272,,,0,0,,"['B', 'B', 'B']","['B', 'B', 'B']"
273,,,0,0,,"['B', 'B', 'B']","['B', 'B', 'B']"
274,,,0,0,,"['B', 'B', 'B']","['B', 'B', 'B']"
275,University of Stirling,Accountancy ,120,120,FK9 4LA,"['B', 'B', 'B']","['B', 'B', 'B']"
276,,,0,0,,"['B', 'B', 'B']","['B', 'B', 'B']"
277,University of Strathclyde,Accounting ,144,144,G1 1XU,"['A', 'A', 'A']","['A', 'A', 'A']"
278,University of Suffolk,Accounting and Finance (with optional placement year) ,0,0,IP4 1QJ,"['A', 'A', 'A']","['A', 'A', 'A']"
279,,,0,0,,"['A', 'A', 'A']","['A', 'A', 'A']"
280,,,0,0,,"['A', 'A', 'A']","['A', 'A', 'A']"
281,,,0,0,,"['A', 'A', 'A']","['A', 'A', 'A']"
282,University of Sussex,Accounting and Finance ,128,128,BN1 9RH,"['A', 'B', 'B']","['A', 'B', 'B']"
283,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
284,New College Swindon University Centre,"Advanced Make-Up, Hair and Prosthetics ",0,0,SN3 1AH,"['A', 'B', 'B']","['A', 'B', 'B']"
285,Tameside College,Computing (Cyber Security) ,0,0,OL6 6NX,"['A', 'B', 'B']","['A', 'B', 'B']"
286,"TEC Partnership (University Centre Grimsby, East Riding College, Scarborough & Skegness Colleges)",Animal Welfare ,0,0,DN34 5BQ,"['A', 'B', 'B']","['A', 'B', 'B']"
287,Teesside University,2D Animation and Stop Motion ,0,0,TS1 3BX,"['A', 'B', 'B']","['A', 'B', 'B']"
288,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
289,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
290,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
291,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
292,Two Mile Ash ITTP (partnered with Chiltern Training Group),Primary and Early Years Education with QTS ,0,0,MK11 4BA,"['A', 'B', 'B']","['A', 'B', 'B']"
293,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
294,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
295,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
296,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
297,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
298,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
299,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
300,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
301,University Campus of Esports (formerly College of Esports),Esports Coaching & Management ,0,0,E20 3AB,"['A', 'B', 'B']","['A', 'B', 'B']"
302,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
303,University Centre Rotherham,Animal Management ,0,0,S65 1EG,"['A', 'B', 'B']","['A', 'B', 'B']"
304,,,0,0,,"['A', 'B', 'B']","['A', 'B', 'B']"
305,University Centre at the Heart of Yorkshire Education Group (inc Wakefield College & Selby College),Animal Management (Behaviour and Welfare) ,0,0,WF1 2DH,"['A', 'B', 'B']","['A', 'B', 'B']"
306,University of London Institute in Paris,French Studies ,128,128,75007,"['A', 'B', 'B']","['A', 'B', 'B']"
307,University of Staffordshire,Accounting and Finance ,112,112,ST4 2DE,"['B', 'B', 'C']","['B', 'B', 'C']"
