OA22CD,DZ22CD,DZ22NM,IZ22CD,IZ22NM,LAD24CD,LAD24NM
S00145614,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145585,S01015108,"Fishcross, Devon Village and Coalsnaughton - 02",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145733,S01015109,"Fishcross, Devon Village and Coalsnaughton - 03",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145741,S01015109,"Fishcross, Devon Village and Coalsnaughton - 03",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145742,S01015109,"Fishcross, Devon Village and Coalsnaughton - 03",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145738,S01015109,"Fishcross, Devon Village and Coalsnaughton - 03",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145737,S01015109,"Fishcross, Devon Village and Coalsnaughton - 03",S02002799,"Fishcross, Devon Village and Coalsnaughton",S12000005,Clackmannanshire
S00145691,S01015110,Tillicoultry - 01,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145734,S01015110,Tillicoultry - 01,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145712,S01015110,Tillicoultry - 01,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145689,S01015110,Tillicoultry - 01,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145692,S01015110,Tillicoultry - 01,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145711,S01015110,Tillicoultry - 01,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145674,S01015111,Tillicoultry - 02,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145678,S01015111,Tillicoultry - 02,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145679,S01015111,Tillicoultry - 02,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145673,S01015111,Tillicoultry - 02,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145719,S01015111,Tillicoultry - 02,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145706,S01015111,Tillicoultry - 02,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145669,S01015112,Tillicoultry - 03,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145634,S01015112,Tillicoultry - 03,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145625,S01015112,Tillicoultry - 03,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145620,S01015112,Tillicoultry - 03,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145658,S01015113,Tillicoultry - 04,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145645,S01015113,Tillicoultry - 04,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145630,S01015113,Tillicoultry - 04,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145628,S01015113,Tillicoultry - 04,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145626,S01015113,Tillicoultry - 04,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145639,S01015113,Tillicoultry - 04,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145667,S01015114,Tillicoultry - 05,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145646,S01015114,Tillicoultry - 05,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145652,S01015114,Tillicoultry - 05,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145654,S01015114,Tillicoultry - 05,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145647,S01015114,Tillicoultry - 05,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145656,S01015114,Tillicoultry - 05,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145623,S01015114,Tillicoultry - 05,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145664,S01015115,Tillicoultry - 06,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145660,S01015115,Tillicoultry - 06,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145640,S01015115,Tillicoultry - 06,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145650,S01015115,Tillicoultry - 06,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145663,S01015115,Tillicoultry - 06,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145636,S01015115,Tillicoultry - 06,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145617,S01015116,Tillicoultry - 07,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145624,S01015116,Tillicoultry - 07,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145618,S01015116,Tillicoultry - 07,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145619,S01015116,Tillicoultry - 07,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145705,S01015117,Tillicoultry - 08,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145659,S01015117,Tillicoultry - 08,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145627,S01015117,Tillicoultry - 08,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145644,S01015117,Tillicoultry - 08,S02002800,Tillicoultry,S12000005,Clackmannanshire
S00145608,S01015118,Dollar and Muckhart - 01,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
S00145612,S01015118,Dollar and Muckhart - 01,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
S00145598,S01015118,Dollar and Muckhart - 01,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
S00145602,S01015118,Dollar and Muckhart - 01,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
S00145604,S01015118,Dollar and Muckhart - 01,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
S00145609,S01015118,Dollar and Muckhart - 01,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
S00145610,S01015118,Dollar and Muckhart - 01,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
S00145615,S01015118,Dollar and Muckhart - 01,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
S00145605,S01015119,Dollar and Muckhart - 02,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
S00145600,S01015119,Dollar and Muckhart - 02,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
S00145599,S01015119,Dollar and Muckhart - 02,S02002801,Dollar and Muckhart,S12000005,Clackmannanshire
